index,score
0,2.909632335
1,3.120552825
2,2.88189037
3,2.812971379
4,2.513971026
5,3.187961535
6,3.117023077
7,2.831571975
8,3.377490259
9,2.616495813
10,2.50924181
11,2.923707762
12,2.723987784
13,2.591649771
14,2.981978496
15,2.629332667
16,3.116157423
17,2.989303689
18,2.572220568
19,2.803185667
20,2.689257289
21,3.328907087
22,2.637455502
23,2.707285697
24,2.506917157
25,2.840989743
26,2.591070915
27,3.187638252
28,2.607481886
29,3.125370208
30,3.129965298
31,2.804715413
32,2.850368813
33,2.582585525
34,2.300998436
35,2.858636408
36,2.645558114
37,2.927623959
38,2.853469889
39,2.842834087
40,2.845649718
41,3.017505695
42,2.840527709
43,3.534067475
44,2.909256813
45,3.217137094
46,2.97157248
47,3.118014242
48,2.722776388
49,2.784959915
50,3.165510054
51,3.182871452
52,2.880862941
53,2.823538411
54,2.631354344
55,2.823673539
56,2.899512579
57,3.175596938
58,2.530579647
59,2.746108985
60,2.901782618
61,2.820909603
62,2.681802286
63,2.537775417
64,2.418624298
65,3.078798091
66,3.243482362
67,2.754923064
68,3.197098488
69,2.587380327
70,2.671047924
71,2.617498103
72,2.395301355
73,2.200153232
74,2.665560939
75,2.763702064
76,2.478025955
77,2.85495133
78,2.882322607
79,2.569812593
80,3.165327786
81,2.547345579
82,3.125072738
83,2.847633867
84,2.499488899
85,3.012931869
86,2.914610618
87,3.399673145
88,2.464575251
89,2.929169641
90,2.894668045
91,2.847193011
92,2.582413109
93,2.516094068
94,2.260379595
95,2.557511682
96,2.870926966
97,2.735190774
98,1.983071943
99,3.4197917
100,3.028907478
101,3.211607726
102,2.503909805
103,2.573686822
104,2.942839857
105,2.825928818
106,3.056687959
107,2.869481333
108,2.767564935
109,3.065937871
110,2.4348461
111,2.900915227
112,2.679917714
113,2.585683072
114,3.269048492
115,2.475218578
116,2.783327478
117,2.751328954
118,3.136825757
119,2.990524464
120,2.959245849
121,3.545719547
122,3.015358797
123,2.881328818
124,3.015595575
125,3.397680548
126,2.880577237
127,2.715886986
128,3.390677701
129,2.895137562
130,3.027942244
131,2.899544425
132,3.096743061
133,3.213044795
134,2.995439864
135,2.909521565
136,3.000375675
137,2.723707059
138,3.03729403
139,3.024861949
140,2.814693313
141,3.258415912
142,3.130262254
143,2.979344332
144,2.657762343
145,3.367325021
146,2.732181561
147,1.733778671
148,3.088402047
149,2.751154499
150,2.854763623
151,2.849998837
152,2.893939124
153,3.065593971
154,3.382152087
155,3.121890539
156,2.101314082
157,2.573115003
158,2.441614709
159,2.891947492
160,2.867856366
161,2.607397032
162,3.169831652
163,2.859738156
164,3.253135159
165,3.040297052
166,2.883453078
167,2.945574021
168,3.565142513
169,2.980733594
170,3.158892397
171,3.161091256
172,3.043795705
173,3.443637022
174,3.028137183
175,3.042200561
176,3.182864096
177,2.991816784
178,3.047952291
179,3.161473815
180,3.11182221
181,3.099032186
182,3.322114922
183,2.391952357
184,3.079250478
185,2.906314886
186,3.044342493
187,2.555317498
188,2.749293499
189,2.184085025
190,2.97639801
191,2.863424178
192,3.171158373
193,2.363187937
194,2.833220299
195,3.483880702
196,3.395595599
197,2.782198558
198,2.542931917
199,2.658851747
200,3.011909542
201,2.881595374
202,3.346271894
203,2.743734179
204,2.814813647
205,3.234348602
206,2.144584454
207,3.077769844
208,3.212057638
209,3.272820282
210,3.168696166
211,3.032272181
212,2.988120437
213,2.821406722
214,2.659999742
215,3.308910357
216,3.665651975
217,2.896335388
218,2.88278913
219,2.992760196
220,3.30351571
221,2.563710156
222,3.027568539
223,3.013486899
224,3.610842223
225,2.863304605
226,2.793448577
227,3.201430814
228,3.45338705
229,2.834442443
230,2.59305549
231,2.662325398
232,3.06481817
233,3.022774592
234,3.144420746
235,3.167803492
236,2.993458433
237,2.954594031
238,3.169611797
239,3.224501241
240,2.448874172
241,2.844430878
242,3.095425364
243,2.804326086
244,3.119760206
245,2.94291357
246,2.778157609
247,3.232034846
248,3.228771257
249,2.652473194
250,3.096446319
251,3.14201366
252,2.994424695
253,2.446033436
254,3.083158215
255,3.175565102
256,2.629430988
257,3.165748184
258,3.049261403
259,3.028412513
260,3.020788783
261,3.184492657
262,2.903039348
263,2.751539734
264,2.918654423
265,3.481912623
266,2.635065998
267,3.2613106
268,2.580211828
269,2.702452197
270,2.927985232
271,2.784030288
272,2.995539986
273,2.514560763
274,2.669021606
275,2.860757197
276,2.668312229
277,2.089409713
278,2.817511149
279,2.762281127
280,2.988287404
281,2.557197401
282,2.928343107
283,3.215314029
284,3.521679964
285,3.223547989
286,3.043519974
287,2.745327995
288,2.904331686
289,3.082268535
290,2.775237175
291,2.860844761
292,2.486452696
293,3.417935029
294,3.798796411
295,2.485764745
296,2.922590202
297,3.049105417
298,2.582614688
299,2.876016413
300,2.736521646
301,3.180277662
302,1.579149767
303,3.012724998
304,2.105218152
305,2.260941686
306,2.44333719
307,2.787199605
308,2.213233246
309,1.813239615
310,2.140423586
311,2.853780604
312,2.407115231
313,2.533559956
314,2.335750204
315,2.087806566
316,1.676790613
317,2.945394435
318,2.338485828
319,2.921872841
320,2.923633245
321,3.011879905
322,2.746321123
323,2.277792799
324,3.044600974
325,2.962692905
326,2.745697523
327,2.892801361
